timestamp, temperature.gpu, temperature.memory, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/08/13 13:23:40.998, 29, N/A, 31.99 W, 210 MHz, 405 MHz, 0x0000000000000001
2026/08/13 13:23:42.017, 29, N/A, 31.99 W, 210 MHz, 405 MHz, 0x0000000000000001
2026/08/13 13:23:43.037, 39, N/A, 87.80 W, 1365 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:44.038, 41, N/A, 350.89 W, 1350 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:45.040, 43, N/A, 349.68 W, 1350 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:46.068, 44, N/A, 350.33 W, 1335 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:47.070, 45, N/A, 350.09 W, 1350 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:48.165, 46, N/A, 349.89 W, 1335 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:49.166, 47, N/A, 349.77 W, 1335 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:50.167, 48, N/A, 349.86 W, 1320 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:51.169, 48, N/A, 349.94 W, 1320 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:52.176, 49, N/A, 349.88 W, 1320 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:53.177, 50, N/A, 349.97 W, 1305 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:54.178, 50, N/A, 349.73 W, 1320 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:55.221, 51, N/A, 349.84 W, 1305 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:56.222, 51, N/A, 349.54 W, 1305 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:57.224, 52, N/A, 350.08 W, 1305 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:58.225, 53, N/A, 349.69 W, 1305 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:23:59.227, 53, N/A, 350.21 W, 1305 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:00.229, 54, N/A, 349.58 W, 1290 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:01.231, 54, N/A, 349.99 W, 1290 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:02.233, 55, N/A, 349.48 W, 1290 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:03.234, 55, N/A, 349.90 W, 1290 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:04.235, 55, N/A, 349.58 W, 1290 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:05.236, 56, N/A, 349.60 W, 1290 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:06.237, 56, N/A, 349.82 W, 1290 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:07.342, 57, N/A, 349.80 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:08.343, 57, N/A, 349.97 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:09.345, 58, N/A, 349.75 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:10.347, 58, N/A, 349.62 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:11.349, 58, N/A, 349.62 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:12.350, 59, N/A, 349.83 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:13.351, 59, N/A, 349.92 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:14.352, 60, N/A, 349.88 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:15.354, 60, N/A, 349.71 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:16.355, 60, N/A, 349.93 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:17.356, 61, N/A, 349.65 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:18.357, 61, N/A, 349.72 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:19.358, 61, N/A, 349.68 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:20.360, 61, N/A, 349.74 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:21.362, 62, N/A, 349.98 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:22.364, 62, N/A, 349.98 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:23.366, 62, N/A, 350.20 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:24.407, 62, N/A, 350.24 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:25.408, 63, N/A, 350.48 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:26.409, 63, N/A, 349.73 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:27.411, 63, N/A, 349.52 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:28.412, 63, N/A, 349.85 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:29.413, 64, N/A, 350.31 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:30.414, 64, N/A, 350.14 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:31.416, 64, N/A, 350.48 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:32.417, 64, N/A, 349.85 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:33.420, 64, N/A, 350.35 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:34.421, 65, N/A, 350.26 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:35.422, 65, N/A, 350.80 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:36.424, 65, N/A, 350.29 W, 1230 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:37.425, 65, N/A, 350.07 W, 1230 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:38.426, 65, N/A, 350.00 W, 1230 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:39.427, 65, N/A, 350.20 W, 1230 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:40.429, 66, N/A, 350.04 W, 1230 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:41.442, 66, N/A, 349.88 W, 1230 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:24:42.443, 66, N/A, 350.06 W, 1230 MHz, 9000 MHz, 0x0000000000000004
